Name
"PD Dr. med. Tomas Pfeiffer, Singen (Hohentwiel), Chirurg, Arzt"
"Dr. med. Kerstin Eckhardt-Peters, Vellmar, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Wolfram Gothe, Vellmar, Facharzt für Innere Medizin, Arzt"
"Dr. med. Anke Drews-Schaefer, Kassel, Frauenärztin, Ärztin"
" Michael Urban, Kassel, Allgemeinmediziner, Arzt"
"Dr. med. Friederike Sixel-Döring, Kassel, Neurologin, Ärztin"
" Marco Mendoza, Vellmar, Facharzt für Innere Medizin, Arzt"
"Prof. Dr. med. Claudia Trenkwalder, Kassel, Neurologin, Ärztin"
"Dr. med. Markus Stahlhacke, Kassel, Anästhesist, Arzt"
" Martin Walter Schammert, Habichtswald, Allgemeinmediziner, Arzt"
" Yuri Mendoza, Vellmar, Facharzt für Innere Medizin, Arzt"
" Klaus-Peter Kiermayr, Kassel, Facharzt für Psychosom. Med.u.Psychotherap., Arzt"
" Monica Canelo in Morelli, Kassel, Neurologin, Ärztin"
" Thomas Lenz, Vellmar, Kinderarzt, Arzt"
"Dr. med. Marion Werner, Kassel, Neurologin, Ärztin"
" Antje Carls, Vellmar, Allgemeinmedizinerin, Ärztin"
"Dr. med. Klaus Heese, Kassel, Allgemeinmediziner, Arzt"
"Dr. med. Manuel Rabani, Ahnatal, Facharzt für Innere Medizin, Arzt"
" Andreas Weyandt, Ahnatal, Facharzt für Innere Medizin, Arzt"
" Sabrina Schygulla, Ahnatal, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Caroline Dietzel, Ahnatal, Allgemeinmedizinerin, Ärztin"
" Gunther Quast, Ahnatal, Anästhesist, Arzt"
" Kerstin Siebert, Ahnatal, Allgemeinmedizinerin, Ärztin"
" Birgit Tuchtfeld, Ahnatal, Praktische Ärztin, Ärztin"
" Katharina Klonk, Ahnatal, Allgemeinmedizinerin, Ärztin"
"Dr. med. Maike Bergter, Ahnatal, Allgemeinmedizinerin, Ärztin"
"Dr. Bibiane Schwartz-Kraft, Ahnatal, Psychiatrie u.Psychotherapie, Ärztin"
"Dr. med. Laure Oschmann, Ahnatal, Kinderärztin, Ärztin"
"Dr. med. Joachim Schmitt, Obrigheim, Allgemeinmediziner, Arzt"
"Dr. med. Wolfgang Beck, Mosbach, Kinderarzt, Arzt"
"Dr. med. Marianne Fuchs, Waibstadt, Fachärztin für Innere Medizin, Ärztin"
" Michael Fath, Neckarbischofsheim, Kinderarzt, Arzt"
"Dr. med. Bernhard Pradella, Eschelbronn, Allgemeinmediziner, Arzt"
"Dr. med. Charlotte Pleimes, Spechbach, Allgemeinmedizinerin, Ärztin"
"Dr. med. Christine Stumpf, Mosbach, Allgemeinmedizinerin, Ärztin"
"Dr. med. Angela Ehrenfried, Neidenstein, Allgemeinmedizinerin, Ärztin"
"Dr. med. Christian Schmitt-Enders, Neidenstein, Allgemeinmediziner, Arzt"
"Dr. med. Martin Schreiber, Guntersblum, Allgemeinmediziner, Arzt"
"Dr. med. Bernd-Michael Schröder-von Winkler, Mosbach, Frauenarzt, Arzt"
"Dr. med. Gunther Leibfried, Mosbach, Allgemeinmediziner, Arzt"
" Andreas Steinfeld, Mosbach, Allgemeinmediziner, Arzt"
" Argun Aldanmaz, Waibstadt, Facharzt für Innere Medizin, Arzt"
"Dr. med. Gudrun Lotter-Elchner, Mosbach, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Gerhard Schaffert, Mosbach, Allgemeinmediziner, Arzt"
" Bernhard Schramm, Neidenstein, Facharzt für Innere Medizin, Arzt"
"Dr. med. Alard von Rohr, Eschelbronn, Allgemeinmediziner, Arzt"
"Dr. med. Alicja Babakhani, Reichartshausen, Allgemeinmedizinerin, Ärztin"
" Janusz Zybowski, Reichartshausen, Allgemeinmediziner, Arzt"
"Dr. med. Daniel Vater, Schwarzach, Kinderarzt, Arzt"
" Franziska Lücke, Helmstadt-Bargen, Fachärztin für Innere Medizin, Ärztin"
" Christiane Maral, Helmstadt-Bargen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Matthias Vogel, Neunkirchen, Allgemeinmediziner, Arzt"
"Dr. med. Andrea Dietrich, Aglasterhausen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Christoph Kaltenmaier, Aglasterhausen, Praktischer Arzt, Arzt"
"Dr. med. Andrea Dietrich, Aglasterhausen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Ramzi Abou Ayash, Aglasterhausen, Frauenarzt, Arzt"
"Dr. med. Hans Winkler, Aglasterhausen, Orthopäde und Unfallchirurg, Arzt"
"Dr. med. Dan Kilburg, Dingolfing, Allgemeinmediziner, Arzt"
"Dr. med. Birgit Lühder-Zerbini, Bodenkirchen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Annette Victoria Haller, Vilsbiburg, Allgemeinmedizinerin, Ärztin"
"Dr. med. Hans-Helmut Gockel, Vilsbiburg, Anästhesist, Arzt"
"PD Dr. med. habil. Ernst Matthias Sendtner, Vilsbiburg, Orthopäde, Arzt"
"Dr. med. Peter Kronast, Neumarkt-Sankt Veit, Allgemeinmediziner, Arzt"
" Anatoly Abashin, Vilsbiburg, Frauenarzt, Arzt"
" Sebastian Rothenwührer, Wörth an der Isar, Allgemeinmediziner, Arzt"
"Dr. med. Burkhard Pfaff, Wörth an der Isar, Allgemeinmediziner, Arzt"
"PD Dr. med. habil. Jesus Bujia, Dingolfing, HNO Arzt, Arzt"
"Dr. med. Christiane Rapp, Buxtehude, Frauenärztin, Ärztin"
" Marian Marks, Reisbach, Praktischer Arzt, Arzt"
" Siegfried Bayerl, Neumarkt-Sankt Veit, Allgemeinmediziner, Arzt"
"Dr. med. Gabriela Hang, Dingolfing, Allgemeinmedizinerin, Ärztin"
" Jan Ortmann, Neumarkt-Sankt Veit, Facharzt für Innere Medizin, Arzt"
"Dr. Zuzana Richterova, Frontenhausen, Fachärztin für Innere Medizin, Ärztin"
"Dr. Dusan Richter, Frontenhausen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Daniela Schmidt, Frontenhausen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Andreas Paintner, Frontenhausen, Allgemeinmediziner, Arzt"
"Dr. med. Gernot Franz, Gerzen, Allgemeinmediziner, Arzt"
" Joachim Henckmann, Dingolfing, Psychotherapeut, Arzt"
"Dr. med. Johann Schicho, Frontenhausen, Allgemeinmediziner, Arzt"
" Katharina Bauer, Marklkofen, Allgemeinmedizinerin, Ärztin"
" Franz S.F. Karl, Marklkofen, Allgemeinmediziner, Arzt"
" Wolfgang Hillebrand, Gerzen, Allgemeinmediziner, Arzt"
"Dr. med. Brigitte Hillebrand, Gerzen, Allgemeinmedizinerin, Ärztin"
" Peter Bäumel, Gerzen, Allgemeinmediziner, Arzt"
" Thomas Zrenner, Aham, Allgemeinmediziner, Arzt"
"Dr. med. Manfred Claussen, Aham, Psychiatrie u.Psychotherapie, Arzt"
"Dr. med. Olaf Werner, Ahaus, Orthopäde, Arzt"
"Dr. med. Maximilian Petri, Ahaus, Hautarzt, Arzt"
"Dr. med. Thomas Varwick, Ahaus, Allgemeinmediziner, Arzt"
"Dr. med. Erik Paust, Ahaus, Chirurg, Arzt"
"Dr. med. Hans-Joachim Kondring, Ahaus, Facharzt für Innere Medizin, Arzt"
"Dr. med. Johann Hempel, Ahaus, Chirurg, Arzt"
"Dr. med. Katja Lühs-Korbmacher, Ahaus, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Heike Scherer, Affing, Praktische Ärztin, Ärztin"
"Dr. med. Akin Yilmaz-Neuhaus, Ahaus, Facharzt für Innere Medizin, Arzt"
" Ingmar Krenz, Ahaus, Radiologe, Arzt"
"Dr. med. Peter Ströcker, Ahaus, Orthopäde, Arzt"
" Henning Mersjann, Ahaus, Chirurg, Arzt"
"Dr. med. Benno Trauschel, Ahaus, Allgemeinmediziner, Arzt"
" Elisabeth Lohmann, Ahaus, Frauenärztin, Ärztin"
"Dr. med. Khalil Malyar, Ahaus, Allgemeinmediziner, Arzt"
"Dr. med. Oksana Grütter, Ahaus, Frauenärztin, Ärztin"
" Rafeeq Abu-Shahrour, Ahaus, Frauenarzt, Arzt"
" Tanja Ewald, Ahaus, Urologin, Ärztin"
"Dr. med. Bernhard Vöcking, Ahaus, Praktischer Arzt, Arzt"
"Dr. Dr. med. Nikolaus Balbach, Ahaus, Allgemeinmediziner, Arzt"
"Prof. Dr. med. Christoph Althaus, Ahaus, Augenarzt, Arzt"
"Dr. med. Martin Czorny-Rütten, Ahaus, Anästhesist, Arzt"
"Prof. Dr. med. Michael Aufmkolk, Ahaus, Chirurg, Arzt"
"Dr. med. Dr. med. dent. Patrick Schön, Ahaus, Mund-Kiefer-Gesichtschirurg, Arzt"
"Dr. med. Herbert Eing, Ahaus, Anästhesist, Arzt"
"Dr. med. Joachim Kersken, Ahaus, Facharzt für Innere Medizin, Arzt"
"Dr. Ciprian Adrian Zaharia, Ahaus, Visceralchirurg, Arzt"
" Christian Thomas Kowatsch, Ahaus, Facharzt für Innere Medizin, Arzt"
"Dr. med. Paul Levi, Ahaus, Facharzt für Innere Medizin, Arzt"
"Dr. med. Michael Räther, Singen (Hohentwiel), Orthopäde, Arzt"
" Iris Pfeiffer, Engen, Allgemeinmedizinerin, Ärztin"
" Olav Kromrey, Singen (Hohentwiel), Allgemeinmediziner, Arzt"
"Dr. med. Meta van Hettinga, Singen (Hohentwiel), Pathologin, Ärztin"
"Dr. med. Stephan Hennings, Singen (Hohentwiel), Strahlentherapeut, Arzt"
"Dr. med. Benedikt Müller, Singen (Hohentwiel), Neurologe, Arzt"
"Dr. med. Jürgen Wenzel, Singen (Hohentwiel), HNO Arzt, Arzt"
"Dr. med. Martin Schnell, Singen (Hohentwiel), Chirurg, Arzt"
"Dr. med. Alan Bani, Singen (Hohentwiel), Facharzt für Neurochirurgie, Arzt"
"Dipl. - Med. Frank Wiegleb, Mansfeld, Allgemeinmediziner, Arzt"
" Barbara Stark, Singen (Hohentwiel), Frauenärztin, Ärztin"
"Dr. med. Jochen Wilpert, Singen (Hohentwiel), Facharzt für Innere Medizin, Arzt"
"Dr. med. Verena Preisler, Singen (Hohentwiel), HNO Ärztin, Ärztin"
"Dr. med. Ulf Krüglstein, Engen, Frauenarzt, Arzt"
"Dr. med. Bahram Hashemi Kalibar, Singen (Hohentwiel), Facharzt für Neurochirurgie, Arzt"
"Dr. med. Hans Christian Hoepner, Singen (Hohentwiel), Kinderarzt, Arzt"
"Dr. med. Rainer Waldschütz, Singen (Hohentwiel), Allgemeinmediziner, Arzt"
"PD Dr. med. Wassilios Bentas, Singen (Hohentwiel), Urologe, Arzt"
"Dr. med. Jürgen Kaufmann, Eigeltingen, Praktischer Arzt, Arzt"
" Angelika Maier, Volkertshausen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Bettina Förg, Singen (Hohentwiel), Allgemeinmedizinerin, Ärztin"
" Sonja Schnell, Mühlhausen-Ehingen, Allgemeinmedizinerin, Ärztin"
" Petra Werkmeister, Volkertshausen, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Jürgen Freibauer, Eigeltingen, Allgemeinmediziner, Arzt"
"Dr. med. Malte Schreiber, Volkertshausen, Allgemeinmediziner, Arzt"
"Dr. med. Thomas Peuckert, Mühlhausen-Ehingen, Allgemeinmediziner, Arzt"
"Dr. med. Arnulf Hamann, Mühlhausen-Ehingen, Allgemeinmediziner, Arzt"
"Dr. med. Jonas Korsakas, Mühlhausen-Ehingen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Karl-Heinz Burghardt, Aach, Allgemeinmediziner, Arzt"
"Dr. med. Sybille Haase, Mosbach, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Manuela Zimmermann, Volkertshausen, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Hans Hulla, Dingolfing, Allgemeinmediziner, Arzt"
" Cornelius Bertels, Ahaus, Urologe, Arzt"
" Friedrich Höche, Weichering, Facharzt für Innere Medizin, Arzt"
"Dr. med. Ramon Kral, Ingolstadt, Orthopäde und Unfallchirurg, Arzt"
" Christiane K. Stein-En-Nosse, Butzbach, Psychiatrie u.Psychotherapie, Ärztin"
"Dr. med. Ekkehart Heiß, Hünfeld, Anästhesist, Arzt"
"Dr. med. Doris Urmoneit, Augsburg, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Thomas Schaefer, Bad Salzungen, Chirurg, Arzt"
" Martin Korn, Wertingen, Facharzt für Psychosom. Med.u.Psychotherap., Arzt"
"Dr. med. Uwe Ingo Steinorth, Bad Mergentheim, Allgemeinmediziner, Arzt"
"Dr. med. Rainer Graf, Gelchsheim, Praktischer Arzt, Arzt"
" Michael Gottweiss, Pfiffelbach, Allgemeinmediziner, Arzt"
"Dr. med. Michael Knoth, Nordenham, Radiologe, Arzt"
" Jens Kathmann-Frerichs, Nordenham, Orthopäde und Unfallchirurg, Arzt"
"Dr. med. Wolfgang Weil, Nordenham, Allgemeinmediziner, Arzt"
"Dr. med. Andreas Cordshagen, Nordenham, HNO Arzt, Arzt"
"Dr. med. Ilka Wendt, Nordenham, Orthopädin und Unfallchirurgin, Ärztin"
"Dr. med. Gunter Stein, Nordenham, Orthopäde und Unfallchirurg, Arzt"
"Dr. med. Pia-Carola Kormann, Weimar, Kinderpsychiaterin, Ärztin"
" Torsten Tiller, Nordenham, Orthopäde, Arzt"
"Dr. med. Hans Schmid, Nordenham, Urologe, Arzt"
" Peter Malinin, Nordenham, Urologe, Arzt"
"Dr. med. Antonios Balangas, Nordenham, Urologe, Arzt"
"Dr. med. Susanne Schmitt, Weiterstadt, Kinderärztin, Ärztin"
" Jörg Rebhan, Groß-Gerau, Anästhesist, Arzt"
"Dr. med. Marcus Geist, Groß-Gerau, Anästhesist, Arzt"
"Dr. med. Nadia Kissel, Weiterstadt, Frauenärztin, Ärztin"
"Dr. med. Claudia Walczok, Groß-Gerau, Fachärztin für Innere Medizin, Ärztin"
" Hans-Jürgen Geiling, Weiterstadt, Anästhesist, Arzt"
" Michael Wilbert, Weiterstadt, Facharzt für Innere Medizin, Arzt"
" Uwe Wojts, Weiterstadt, Facharzt für Innere Medizin, Arzt"
"Dr. med. Maria Germinario-Degaetano, Weiterstadt, Allgemeinmedizinerin, Ärztin"
"Dr. med. Rolf Reinheimer, Weiterstadt, Augenarzt, Arzt"
"Dr. med. Hans Dieter Sitz, Weiterstadt, HNO Arzt, Arzt"
"Dr. med. Thomas Wendling, Groß-Gerau, Allgemeinmediziner, Arzt"
"Dr. med. Eva Ritter, Groß-Gerau, Psychotherapeutin, Ärztin"
"Dr. med. Jürgen Hettfleisch, Weiterstadt, Orthopäde, Arzt"
"Dr. med. Christel Barczus-Krüger, Weiterstadt, Frauenärztin, Ärztin"
"Dr. med. Sabine Haußmann, Weiterstadt, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Philipp Malchow, Weiterstadt, Facharzt für Innere Medizin, Arzt"
" Bülent Altintas, Groß-Gerau, Allgemeinmediziner, Arzt"
"Dr. med. Matthias Gerlach, Groß-Gerau, Facharzt für Innere Medizin, Arzt"
"Dr. med. Christine Sitz, Weiterstadt, Allgemeinmedizinerin, Ärztin"
"Dr. med. Kurt Matthes, Weiterstadt, Kinderarzt, Arzt"
"Dr. med. Bernd-Wolfgang Mestwerdt, Bad Fallingbostel, Allgemeinmediziner, Arzt"
"Dr. med. Henning Ostermann, Weiterstadt, Allgemeinmediziner, Arzt"
" Michael Stetter, Groß-Gerau, Frauenarzt, Arzt"
" Wolfgang Riedlinger, Weiterstadt, Allgemeinmediziner, Arzt"
" Thomas A. Sanner, Weiterstadt, Facharzt für Innere Medizin, Arzt"
" Peter Karkowski, Büttelborn, Allgemeinmediziner, Arzt"
"Dr. med. Alexander Ullmann, Büttelborn, Allgemeinmediziner, Arzt"
"Dr. med. Anja Engel, Büttelborn, Allgemeinmedizinerin, Ärztin"
"Dr. med. Alfons-Walter Michl, Büttelborn, Allgemeinmediziner, Arzt"
" Hannes Baumgardt, Nordenham, Facharzt für Innere Medizin, Arzt"
" Ulrike Weil, Nordenham, Allgemeinmedizinerin, Ärztin"
" Sliman Shurbaji, Nordenham, Chirurg, Arzt"
"Dr. med. Michael Bodammer, Nordenham, Facharzt für Innere Medizin, Arzt"
"Dr. med. Birgit Wilkens, Nordenham, Augenärztin, Ärztin"
"Dr. med. Orhan Kahraman, Nordenham, Chirurg, Arzt"
"Dr. med. Jörg Standke, Nordenham, Radiologe, Arzt"
" Aimee Neli Southy Etotoue, Nordenham, Frauenärztin, Ärztin"
"Dr. med. Carsten Wilkens, Nordenham, Augenarzt, Arzt"
"Dr. med. Ivan Hronec, Nordenham, Frauenarzt, Arzt"
"Dr. med. Peter Schmidt, Nordenham, Allgemeinmediziner, Arzt"
" Cordula Schäfer, Nordenham, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Eckhard Schmalstieg, Butjadingen, Allgemeinmediziner, Arzt"
" Christopher Schultz, Büsum, Praktischer Arzt, Arzt"
"Dr. med. Karsten Sommer, Heide, Allgemeinmediziner, Arzt"
" Andrea Schwarzbach, Heide, Allgemeinmedizinerin, Ärztin"
"Dr. med. Heinrich Herding, Meldorf, Kinderarzt, Arzt"
"Dr. med. Jan-Peter Jancke, Heide, Chirurg, Arzt"
"Dr. med. Regine Sticken, Meldorf, Hautärztin, Ärztin"
"Dr. med. Eberhard Schauwienold, Heide, HNO Arzt, Arzt"
"Dr. med. Roman Mroz, Heide, Chirurg, Arzt"
"Dr. Viktoria Gorfunkel, Wesselburen, Allgemeinmedizinerin, Ärztin"
" Sigrid Zurwellen, Wöhrden, Kinderärztin, Ärztin"
" Andrea von der Kammer, Wesselburen, Fachärztin für Innere Medizin, Ärztin"
" Susanne Fromm, Wesselburen, Praktische Ärztin, Ärztin"
"Dr. med. Johann Kielholz, Wöhrden, Allgemeinmediziner, Arzt"
"Dr. med. Peter-Helmut Langanke, Wesselburen, Facharzt für Innere Medizin, Arzt"
" Svantje Lehmann, Wöhrden, Allgemeinmedizinerin, Ärztin"
" Roman Gorfunkel, Wesselburen, Allgemeinmediziner, Arzt"
" Daniel Weiss, Wöhrden, Allgemeinmediziner, Arzt"
"Dr. med. Melanie Möller, Wesselburen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Nana Thorsen, Wöhrden, Allgemeinmedizinerin, Ärztin"
"Dr. Ole Lorenzen, Wöhrden, Allgemeinmediziner, Arzt"
"Dr. med. Barbara von Blume, Büsum, Psychiatrie u.Psychotherapie, Ärztin"
"Dr. med. Klaas Lindemann, Büsum, Praktischer Arzt, Arzt"
" Kerstin Weiser-Hagelstein, Büsum, Allgemeinmedizinerin, Ärztin"
" Elsa Krotenko, Büsum, Allgemeinmedizinerin, Ärztin"
"Dr. med. Wiebke Jensen, Büsum, Augenärztin, Ärztin"
"Dr. med. Viola Schmidt, Büsum, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Annegret Fischer, Weiterstadt, Allgemeinmedizinerin, Ärztin"
"Dr. med. Antje Busch, Büsum, Hautärztin, Ärztin"
" Astrid Ewald, Büsum, Praktische Ärztin, Ärztin"
"Dr. med. Dorothee Radtke, Butjadingen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Richard Barabasch, Hirschaid, Allgemeinmediziner, Arzt"
" Josef Johann Gruca, Hirschaid, Allgemeinmediziner, Arzt"
" Catrin Barbara Haertel, Hirschaid, Allgemeinmedizinerin, Ärztin"
"Dr. med. Michael Bickel, Hirschaid, Orthopäde, Arzt"
"Dr. med. Michael Schubothe, Hirschaid, Facharzt für Innere Medizin, Arzt"
"Dr. med. Gerhard Hammon, Hirschaid, Kinderarzt, Arzt"
"Dr. med. Anne Bogumil, Bützow, Frauenärztin, Ärztin"
"Dr. med. Orhan Kahraman, Nordenham, Chirurg, Arzt"
"Dr. med. Juliane Mlynski, Bützow, Augenärztin, Ärztin"
"Dr. Eliska Knajblova, Bützow, Allgemeinmedizinerin, Ärztin"
" Franziska Lerch, Bützow, Augenärztin, Ärztin"
" Kathrin Klimpke, Bützow, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Michael Albrecht, Bützow, Chirurg, Arzt"
"Dr. med. Hendrik Hasche, Bützow, Augenarzt, Arzt"
" Iris Friesecke, Bützow, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Annekatrin Heine, Bützow, Augenärztin, Ärztin"
" Erik Matschulla, Bützow, Innere Medizin, Arzt"
"Dr. med. Norbert Schulz, Bützow, Augenarzt, Arzt"
" Tanja Kolax, Bützow, Kinderärztin, Ärztin"
"Dr. Sabine Bohl, Bützow, Augenärztin, Ärztin"
" Iris Friesecke, Bützow, Fachärztin für Innere Medizin, Ärztin"
" Jördis Rothe, Bützow, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Arion-Björn Paulus, Bützow, Anästhesist, Arzt"
"Dr. med. Roland Dettmann, Bützow, Facharzt für Innere Medizin, Arzt"
"Dr. med. Markus Puskeiler, Bützow, Orthopäde, Arzt"
"Dr. med. Jürgen Zscherpe, Bützow, Neurologe, Arzt"
"Dipl. - Med. Ingrid Thiemann, Bützow, Allgemeinmedizinerin, Ärztin"
"Dr. med. Brigitte Drewelow, Bützow, Frauenärztin, Ärztin"
"Dipl. - Med. Elisabeth Schütt, Bützow, HNO Ärztin, Ärztin"
"Dr. med. Volker Hefftler, Bützow, Allgemeinmediziner, Arzt"
"Dr. med. Sabine Schulz-Pardeyke, Bützow, Fachärztin für Innere Medizin, Ärztin"
" Karsten Thiemann, Bützow, Allgemeinmediziner, Arzt"
" Volker Staats, Büsum, Facharzt für Innere Medizin, Arzt"
"Dipl. - Med. Renate Möckel, Bützow, Chirurgin, Ärztin"
" Nicole Mindt, Bützow, Allgemeinmedizinerin, Ärztin"
"Dr. med. Sebastian Wicht, Bützow, Chirurg, Arzt"
"Dr. med. Elmar Schmid, Hirschaid, Kinderarzt, Arzt"
"Dr. med. Hans-Günther Mühlbauer, Hirschaid, Allgemeinmediziner, Arzt"
"Dr. med. Dörte Puskeiler, Bützow, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Dagmar Schmucker, Hirschaid, Praktische Ärztin, Ärztin"
"Dr. med. Michael Bickel, Hirschaid, Orthopäde, Arzt"
"Dr. med. Ulrich Bettendorf, Hirschaid, Kinderarzt, Arzt"
"Dr. Silke Monatz, Butjadingen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Hans-Jürgen Dittmann, Eggolsheim, Allgemeinmediziner, Arzt"
"Dr. med. Gudrun Schuster, Hirschaid, Allgemeinmedizinerin, Ärztin"
" Johann Birkel, Eggolsheim, Facharzt für Innere Medizin, Arzt"
"Dr. Dr. med. Andreas Först, Hirschaid, Chirurg, Arzt"
"Dr. med. Peter Branzka, Hirschaid, HNO Arzt, Arzt"
"Dr. med. Theresia Dittmann, Eggolsheim, Allgemeinmedizinerin, Ärztin"
"Dr. med. Achmed Schmucker, Hirschaid, Augenarzt, Arzt"
" Evelyn Pahlitzsch, Hirschaid, Frauenärztin, Ärztin"
"Dr. med. Thomas Friedemann, Eggolsheim, Allgemeinmediziner, Arzt"
"Dr. med. Elisabeth Mahnkopf, Eggolsheim, Allgemeinmedizinerin, Ärztin"
" Silke Birmoser, Hirschaid, Allgemeinmedizinerin, Ärztin"
"Dr. med. Regine Donocik, Hirschaid, Praktische Ärztin, Ärztin"
"Dr. med. Gottfried Kuhn, Hirschaid, Allgemeinmediziner, Arzt"
"Dr. med. Claudia Burkard, Eggolsheim, Allgemeinmedizinerin, Ärztin"
" Karin Körmeier, Buttenheim, Allgemeinmedizinerin, Ärztin"
"Dr. med. Magdalena Lux, Buttenheim, Allgemeinmedizinerin, Ärztin"
"Dr. med. Eleonore Heyer-Wirths, Butjadingen, Praktische Ärztin, Ärztin"
"Dr. med. Stefan Zimmermann, Hirschaid, Facharzt für Innere Medizin, Arzt"
" Gert von Heugel, Butjadingen, Allgemeinmediziner, Arzt"
"Dr. med. Thomas Seidel, Weimar, Facharzt für Innere Medizin, Arzt"
"Dr. med. Udo Jahn, Weimar, Orthopäde, Arzt"
"Dr. med. Hermann Reindl, Weimar, Hautarzt, Arzt"
"Dr. med. Heiko Filz, Weimar, Urologe, Arzt"
"Dr. med. Franziska Krohn, Weimar, Allgemeinmedizinerin, Ärztin"
" Silke Heydolph, Weimar, Orthopädin und Unfallchirurgin, Ärztin"
"Dr. med. Annette Rosenstengel, Weimar, Allgemeinmedizinerin, Ärztin"
"Dr. med. Markus Kluth, Butjadingen, Allgemeinmediziner, Arzt"
"Dr. med. Kerstin Belke, Apolda, Frauenärztin, Ärztin"
"Dr. med. Richard Serfling, Weimar, Psychiatrie u.Psychotherapie, Arzt"
" Timo Wolfschmidt, Weimar, Orthopäde und Unfallchirurg, Arzt"
"Dr. Skaidré Paulauskiene, Weimar, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Birgit Pröseler, Roßleben, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Joachim Bechler, Apolda, Frauenarzt, Arzt"
"Dr. med. Konrad Mittag, Kölleda, Allgemeinmediziner, Arzt"
" Manal Sayeg, Weimar, Fachärztin für Innere Medizin, Ärztin"
"Prof. Dr. med. Egbert Johannes Seidel, Weimar, Rehabilitationsarzt, Arzt"
"PD Dr. med. habil. Rolf Malessa, Weimar, Neurologe, Arzt"
"Dr. med. Ulrike Elle, Pfiffelbach, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Matthias Hartmann, Finneland, Allgemeinmediziner, Arzt"
"Dipl. - Med. Matthias Hartmann, Finneland, Allgemeinmediziner, Arzt"
"Dr. med. Barbara Plewe, Pfiffelbach, Fachärztin für Innere Medizin, Ärztin"
"Dipl. - Med. Thomas Schmidt, Rastenberg, Praktischer Arzt, Arzt"
"Dr. med. Bernd Mrosk, Eckartsberga, Allgemeinmediziner, Arzt"
" Sliman Shurbaji, Nordenham, Chirurg, Arzt"
"Dr. med. Andrea Gerber, Pfiffelbach, Kinderärztin, Ärztin"
"Dipl. - Med. Heike Schmidt, Rastenberg, Praktische Ärztin, Ärztin"
"Dr. med. Ralph Kühner, Rastenberg, Praktischer Arzt, Arzt"
"Dr. med. Nadine Stowasser, Eckartsberga, Allgemeinmedizinerin, Ärztin"
" Silvia Schuchort, Buttstädt, Frauenärztin, Ärztin"
" Gerlinde Fuchs, Buttstädt, Allgemeinmedizinerin, Ärztin"
"Dr. med. Udo Fuchs, Buttstädt, Allgemeinmediziner, Arzt"
"Dr. med. Nanni Petersen, Weimar, Allgemeinmedizinerin, Ärztin"
"Dr. med. Julia Seif, Weimar, Praktische Ärztin, Ärztin"
" Margyl Schliep, Weimar, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Martina Becker, Weimar, Kinderärztin, Ärztin"
" Caterina Klinkhart, Eckartsberga, Allgemeinmedizinerin, Ärztin"
"Dr. med. Michael Schneider, Weimar, HNO Arzt, Arzt"
"Dr. med. Lars Flemming, Weimar, Orthopäde und Unfallchirurg, Arzt"
"Dr. med. Heike Knaut, Kromsdorf, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Heike Hafemann-Gietzen, Weimar, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Roland Grimm, Weimar, Facharzt für Innere Medizin, Arzt"
"Dr. med. Cara-Manuela Schatton, Weimar, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Stephanie Freyburg, Kromsdorf, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Eduard-Matthias Richard, Buttstädt, Facharzt für Innere Medizin, Arzt"
"Dr. med. Matthias Granrath, Weimar, Facharzt für Innere Medizin, Arzt"
"Dr. med. Heiko Bär, Weimar, Allgemeinmediziner, Arzt"
